Nama File,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,contrast_0,contrast_45,contrast_90,contrast_135,energy_0,energy_45,energy_90,energy_135,ASM_0,ASM_45,ASM_90,ASM_135,Class
1.png,0.972573499,0.95253031,0.970467242,0.94679466,0.177445008,0.129335996,0.162174341,0.130077679,8.538541667,11.68697186,9.020859271,11.86914431,182.3422998,314.9467963,195.8467395,352.9997949,0.014164127,0.01195438,0.013479596,0.011844967,0.000200622,0.000142907,0.0001817,0.000140303,Memakai
10-a.png,0.979916443,0.973981773,0.983227653,0.971704229,0.369264851,0.358376098,0.38301127,0.352991563,8.693911083,9.356339488,7.299827982,9.911558098,282.4157353,365.7447315,236.3521598,397.7603547,0.250466916,0.249070189,0.253245459,0.248927905,0.062733676,0.062035959,0.064133262,0.061965102,Memakai
10.png,0.988226236,0.980356627,0.990167071,0.981560231,0.295119701,0.23937607,0.282272655,0.242461125,5.158424408,6.986670325,5.243496453,6.776779386,96.70705829,161.7831127,81.98676551,151.8724192,0.046150334,0.042402744,0.046257054,0.042824169,0.002129853,0.001797993,0.002139715,0.001833909,Memakai
100.png,0.98091814,0.965582678,0.981068276,0.967659548,0.301984899,0.265770386,0.338452835,0.26487062,6.441185897,8.518727873,5.931893255,8.263397168,149.0039263,268.699127,147.7361414,252.4789588,0.040847013,0.039002727,0.04298908,0.038057581,0.001668478,0.001521213,0.001848061,0.001448379,Memakai
101.png,0.967695256,0.945490394,0.97186467,0.949540258,0.152341292,0.114230265,0.159317078,0.130296088,9.131425439,12.13686413,8.377620539,11.12371724,191.4267325,322.6269764,166.8776534,298.6703369,0.013031382,0.011284476,0.013465667,0.011965148,0.000169817,0.000127339,0.000181324,0.000143165,Memakai
102.png,0.974640979,0.948454375,0.967610573,0.949795843,0.267617174,0.181472112,0.211322534,0.180698614,6.625024655,10.12114085,8.005734679,10.07167438,153.2990878,311.467926,196.9652227,303.3631007,0.027894952,0.0248909,0.027412054,0.025021646,0.000778128,0.000619557,0.000751421,0.000626083,Memakai
103.png,0.980406879,0.945111365,0.961521473,0.949757229,0.251404409,0.163266319,0.193808897,0.177177864,5.836458333,10.91697864,9.215139333,10.29208875,125.483443,349.4621779,246.7169853,319.870926,0.023128713,0.017445155,0.018788018,0.018020028,0.000534937,0.000304333,0.00035299,0.000324721,Memakai
104.png,0.9637827,0.91364831,0.950238272,0.94587965,0.254809006,0.214967725,0.263485302,0.217274112,5.913112053,8.315391343,6.554792911,7.596175212,104.692161,249.181571,144.0272202,156.1806728,0.031978336,0.029737942,0.032588916,0.029812528,0.001022614,0.000884345,0.001062037,0.000888787,Memakai
105.png,0.973956029,0.951400058,0.958140309,0.935015319,0.198701314,0.14374102,0.162960134,0.14151152,6.503375772,9.637164885,8.634016544,10.33257787,126.3644483,235.3347474,202.9086632,314.6752867,0.016761824,0.013919128,0.014913331,0.013971248,0.000280959,0.000193742,0.000222407,0.000195196,Memakai
106.png,0.987736875,0.980148818,0.990968554,0.980661722,0.260182566,0.205876498,0.269677946,0.210877662,5.432285714,7.389240885,5.012314568,6.91022116,100.4292857,162.4408607,74.65799734,158.2440167,0.021853051,0.018776893,0.021823046,0.019167755,0.000477556,0.000352572,0.000476245,0.000367403,Memakai
107.png,0.982407955,0.96789211,0.983461042,0.969444339,0.278538321,0.197019733,0.254854134,0.206211788,5.699452381,8.550555888,6.17618391,8.165642558,136.2341667,248.2451405,127.8515358,236.2524806,0.021057777,0.017167141,0.019894849,0.017383379,0.00044343,0.000294711,0.000395805,0.000302182,Memakai
108.png,0.991345029,0.981230091,0.983460879,0.971458114,0.32430052,0.232393335,0.287036917,0.2250046,3.654314721,5.556655268,4.79893073,6.290720642,40.06895093,86.75602659,76.67480242,131.9174649,0.022337649,0.018134998,0.020413289,0.017843242,0.000498971,0.000328878,0.000416702,0.000318381,Memakai
109.png,0.98538244,0.979204859,0.989760827,0.976513514,0.369524038,0.333375404,0.420333298,0.320707449,3.538395833,4.216317992,2.962218198,4.524748954,39.65685417,56.34995816,27.89013094,63.64382845,0.041471389,0.038896733,0.045214673,0.037678408,0.001719876,0.001512956,0.002044367,0.001419662,Memakai
11.png,0.989932939,0.978099381,0.988499424,0.981694447,0.386751727,0.278089993,0.336431491,0.275579746,3.753174603,5.778999801,4.349679748,5.475214186,56.96142857,123.2350269,65.09924845,103.0088663,0.028715719,0.023015765,0.026110414,0.022735053,0.000824593,0.000529725,0.000681754,0.000516883,Memakai
