Nama File,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,contrast_0,contrast_45,contrast_90,contrast_135,energy_0,energy_45,energy_90,energy_135,ASM_0,ASM_45,ASM_90,ASM_135,Class
"image1,000.jpg",0.99284352,0.982840199,0.991545564,0.988668036,0.386563693,0.281394543,0.357076906,0.279439455,4.260019841,7.155384539,5.039786091,6.292090058,107.9168155,258.8219516,127.3056869,170.9143754,0.031573536,0.025710493,0.030045691,0.025474713,0.000996888,0.000661029,0.000902744,0.000648961,Memakai
"image1,001.jpg",0.995378598,0.986951962,0.988693222,0.983106679,0.53210571,0.329611684,0.420969787,0.314966259,2.55379902,4.971757322,4.102500255,5.435761752,44.07393791,124.5754984,108.1033575,161.2889491,0.054043703,0.037129732,0.042451535,0.035484647,0.002920722,0.001378617,0.001802133,0.00125916,Memakai
"image1,002.jpg",0.993373893,0.98674042,0.993800458,0.989771878,0.429461456,0.311316959,0.381806048,0.306541249,3.807489107,6.10227801,4.326685866,5.614789291,102.5367919,205.3426313,95.95718089,158.3922116,0.037158097,0.029577039,0.03342424,0.02868388,0.001380724,0.000874801,0.00111718,0.000822765,Memakai
"image1,003.jpg",0.989866536,0.982119129,0.9880981,0.984054149,0.364274993,0.298428999,0.365488557,0.30634479,4.632064018,6.123666491,4.901618586,5.927567957,87.33532009,153.7347945,102.9252367,137.1013328,0.032278034,0.027541409,0.030173509,0.027298994,0.001041871,0.000758529,0.000910441,0.000745235,Memakai
"image1,004.jpg",0.993848866,0.982502742,0.988134363,0.987040237,0.43065442,0.362127768,0.424049435,0.367481028,3.885963687,5.779972418,4.529218968,5.340080877,80.68582402,229.8393913,155.640795,170.2341226,0.046381284,0.039524698,0.04441634,0.040689564,0.002151224,0.001562202,0.001972811,0.001655641,Memakai
"image1,005.jpg",0.983678584,0.977051681,0.991446907,0.977181683,0.410269541,0.350673947,0.446562396,0.335263305,4.206130573,5.280681182,3.394629522,5.563014684,118.8970541,166.973936,62.81838886,166.0295552,0.0346369,0.030353312,0.035716725,0.029597056,0.001199715,0.000921324,0.001275684,0.000875986,Memakai
"image1,006.jpg",0.985346868,0.978509517,0.98524832,0.975081354,0.273808954,0.267385334,0.302264471,0.241454648,6.648220974,7.262211462,6.352025432,8.713436134,159.5157772,233.3282638,160.9884294,270.5503032,0.034835063,0.032478344,0.034860311,0.032589806,0.001213482,0.001054843,0.001215241,0.001062095,Memakai
"image1,007.jpg",0.986227621,0.977875934,0.990475834,0.981322258,0.31936522,0.283858769,0.367850356,0.304812393,5.095636483,6.451948737,4.012977249,5.930748196,88.04583333,140.9631997,61.01546156,118.9989787,0.031240746,0.029150917,0.033048955,0.030515866,0.000975984,0.000849776,0.001092233,0.000931218,Memakai
"image1,008.jpg",0.981768804,0.97374425,0.984297256,0.968701245,0.339674457,0.294777675,0.368967073,0.302793036,6.109570707,7.933536199,5.458058174,7.692861671,174.6003788,251.0538608,150.8940112,299.2970711,0.042187777,0.039199152,0.042103102,0.03900416,0.001779809,0.001536574,0.001772671,0.001521325,Memakai
"image1,009.jpg",0.99225692,0.983150605,0.992175504,0.987925972,0.595216375,0.440334159,0.604539618,0.44501505,3.122867647,5.289244401,3.118476107,4.686143244,78.51482843,170.1492493,79.60652328,121.9195176,0.086788402,0.072488969,0.084484044,0.071738428,0.007532227,0.005254651,0.007137554,0.005146402,Memakai
"image1,010.jpg",0.994410741,0.986953318,0.992465377,0.988407222,0.375571134,0.283817545,0.337793091,0.287848221,3.76658443,5.657096455,4.285886182,5.570441533,54.06192434,125.5570634,72.96447617,111.5633396,0.03403156,0.025668385,0.027754896,0.025990422,0.001158147,0.000658866,0.000770334,0.000675502,Memakai
